begin|end|distance｜aBPM|mBPM
2024-01-05 18:49:00|2024-01-05 19:19:17|5.50|142|155
2024-01-09 18:51:00|2024-01-09 19:23:25|6.08|145|164
2024-01-11 18:33:00|2024-01-11 19:11:12|7.09|155|165
2024-01-16 18:17:00|2024-01-16 18:54:37|7.16|0|0
2024-01-18 18:46:00|2024-01-18 19:24:23|7.1|0|0
2024-01-23 08:16:00|2024-01-23 08:57:15|7.62|147|164
2024-01-26 18:58:00|2024-01-26 19:35:47|7.26|147|163
2024-01-30 18:45:00|2024-01-30 19:21:55|7.03|154|164
2024-02-01 18:01:00|2024-02-01 18:38:39|7.16|153|165
2024-02-19 18:14:00|2024-02-19 18:54:55|7.03|151|166
2024-02-20 18:58:00|2024-02-20 19:32:25|6.05|0|0
2024-02-22 18:58:00|2024-02-22 19:37:05|7.05|150|182
2024-02-26 18:29:00|2024-02-26 19:07:28|7.07|148|187
2024-02-27 18:12:00|2024-02-27 18:49:29|7.01|152|172
2024-02-29 17:55:00|2024-02-29 18:34:22|7.03|0|0
2024-03-05 18:20:00|2024-03-05 19:00:49|7.17|152|171
2024-03-07 18:27:00|2024-03-07 19:05:40|7.04|0|0
2024-03-14 18:11:00|2024-03-14 18:48:41|7.06|154|170
2024-03-18 18:22:00|2024-03-18 19:01:57|7.09|147|167
2024-03-19 18:38:00|2024-03-19 19:17:45|7.06|145|157
2024-03-21 18:13:00|2024-03-21 18:51:54|7.06|154|174
2024-03-22 18:21:00|2024-03-22 18:55:30|6.01|149|176
2024-03-25 18:12:00|2024-03-25 18:50:57|7.03|150|183
2024-03-26 18:37:00|2024-03-26 19:17:39|7.05|144|159
2024-03-28 18:49:00|2024-03-28 19:28:22|7.04|0|0
2024-03-29 18:56:00|2024-03-29 19:30:26|6.04|151|163
2024-04-01 18:40:00|2024-04-01 19:20:00|7.08|148|163
2024-04-02 18:33:00|2024-04-02 19:11:58|7.01|148|178
2024-04-09 18:50:00|2024-04-09 19:28:38|7.01|150|186
2024-04-11 18:25:00|2024-04-11 19:07:06|7.04|144|152
2024-04-12 18:17:00|2024-04-12 18:56:58|7.03|155|169
2024-04-15 18:04:00|2024-04-15 18:44:06|7.05|147|156
2024-04-16 18:06:00|2024-04-16 18:45:59|7.00|150|178
2024-04-22 18:15:00|2024-04-22 18:55:34|7.12|151|174
2024-04-23 18:31:00|2024-04-23 19:11:04|7.03|148|167
2024-04-25 18:19:00|2024-04-25 19:00:07|7.16|0|0
2024-05-06 18:11:00|2024-05-06 18:52:24|7.15|0|0
2024-05-09 18:14:00|2024-05-09 18:53:04|7.07|150|164
2024-05-14 18:34:00|2024-05-14 19:13:24|7.06|150|165
2024-05-16 18:37:00|2024-05-16 19:10:23|7.06|147|166
2024-05-17 18:27:00|2024-05-17 19:08:51|7.04|157|181
2024-05-20 18:10:00|2024-05-20 18:50:07|7.06|149|174
2024-05-21 18:22:00|2024-05-21 19:02:11|7.05|161|177
2024-05-27 18:26:00|2024-05-27 19:06:56|7.04|151|174
2024-05-28 18:30:00|2024-05-28 19:05:34|6.07|154|168
2024-05-30 18:20:00|2024-05-30 19:01:08|7.26|0|0
2024-06-03 18:09:00|2024-06-03 18:50:04|7.09|144|158
2024-06-04 18:28:00|2024-06-04 19:09:14|7.12|143|163
2024-06-05 12:40:00|2024-06-05 13:10:35|5.21|154|187
2024-06-06 18:34:00|2024-06-06 19:16:22|7.09|149|161
2024-06-11 18:16:00|2024-06-11 18:58:46|7.16|0|0
2024-06-12 12:29:00|2024-06-12 12:57:18|5.16|157|187
2024-06-13 19:00:00|2024-06-13 19:44:02|7.17|0|0
2024-06-14 18:28:00|2024-06-14 19:05:40|6.02|148|166
2024-06-17 18:09:00|2024-06-17 18:51:27|7.05|147|159
2024-06-18 19:15:00|2024-06-18 19:42:19|5.06|158|173
2024-06-19 12:36:00|2024-06-19 13:04:40|5.08|159|191
2024-06-20 18:43:00|2024-06-20 19:25:29|7.04|153|171
2024-06-24 18:15:00|2024-06-24 18:54:26|7.01|151|180
2024-06-25 18:38:00|2024-06-25 19:19:01|7.16|154|177
2024-06-26 12:14:00|2024-06-26 12:43:05|5.02|154|174
2024-06-27 18:33:00|2024-06-27 19:14:54|7.05|146|173
2024-07-01 20:40:00|2024-07-01 21:08:23|5.07|150|190
2024-07-02 18:22:00|2024-07-02 19:06:20|7.04|148|159
2024-07-03 12:03:00|2024-07-03 12:29:29|4.02|150|164
2024-07-04 18:25:00|2024-07-04 18:56:36|5.14|143|158
2024-07-08 18:34:00|2024-07-08 19:14:53|7.05|148|165
2024-07-09 18:47:00|2024-07-09 19:27:49|7.00|144|162
2024-07-11 18:59:00|2024-07-11 19:39:49|7.10|0|0
2024-07-12 19:07:00|2024-07-12 19:36:44|5.07|144|157
2024-07-16 18:29:00|2024-07-16 19:08:32|8.05|0|0
